,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
0,904/265 Exhibition Street Melbourne VIC 3000,POINT (144.9691204 -37.8095116),850.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.6452,1.7146,0.7007000000000001,2.113,0.3461,0.7433333333333334
6,2302/17 Spring Street Melbourne VIC 3000,POINT (144.9744021 -37.8147493),1500.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.43189999999999995,2.7503,1.1439000000000001,2.4385,0.5171,2.19
12,11/187 Collins Street Melbourne VIC 3000,POINT (144.9678522 -37.81540469999999),800.0,1.0,1.0,,206041503,Melbourne CBD - East,2.1035,2.8712,1.2648,2.7744,0.248,2.8233333333333333
19,1605/68 La Trobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),590.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
21,3007/35 Spring Street Melbourne VIC 3000,POINT (144.9740049 -37.8141725),2300.0,3.0,2.0,2.0,206041503,Melbourne CBD - East,0.36069999999999997,2.6702,1.0637999999999999,2.212,0.437,1.9683333333333333
37,46/283 Spring Street Melbourne VIC 3000,POINT (144.9712126 -37.8081467),850.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.5548,1.7367000000000001,0.9412,2.1588000000000003,0.43289999999999995,0.9083333333333333
38,30/180 Little Collins Street Melbourne VIC 3000,POINT (144.9679157 -37.8138453),980.0,2.0,2.0,2.0,206041503,Melbourne CBD - East,2.2993,2.1311999999999998,0.5247,2.547,0.9158999999999999,1.1983333333333335
51,L03/68 La Trobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),400.0,1.0,1.0,,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
60,2501/82 Flinders Street Melbourne VIC 3000,POINT (144.971946 -37.815919),1450.0,3.0,2.0,2.0,206041503,Melbourne CBD - East,0.7564,2.6043000000000003,0.9977999999999999,3.0201,0.371,2.0416666666666665
69,1301/17 Spring Street Melbourne VIC 3000,POINT (144.9744021 -37.8147493),1950.0,3.0,2.0,2.0,206041503,Melbourne CBD - East,0.43189999999999995,2.7503,1.1439000000000001,2.4385,0.5171,2.19
77,301/68 La Trobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),690.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
78,24/27 Flinders Lane Melbourne VIC 3000,POINT (144.9733655 -37.8147317),585.0,2.0,1.0,,206041503,Melbourne CBD - East,0.7577999999999999,2.6056999999999997,0.9993,2.2939000000000003,0.3725,2.2550000000000003
81,1004/336 Russell Street Melbourne VIC 3000,POINT (144.9663215 -37.8083819),675.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.667,1.4987000000000001,0.5216000000000001,1.9145,0.3361,1.1283333333333334
85,703/233 Collins Street Melbourne VIC 3000,POINT (144.9660296 -37.8158618),600.0,1.0,1.0,,206041503,Melbourne CBD - East,2.4711999999999996,2.4003,1.1645999999999999,2.4181999999999997,1.0877999999999999,0.535
89,401/68 La Trobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),700.0,3.0,1.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
92,1701/265 Exhibition Street Melbourne VIC 3000,POINT (144.9691204 -37.8095116),1000.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.6452,1.7146,0.7007000000000001,2.113,0.3461,0.7433333333333334
94,513/33 Mackenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),550.0,1.0,1.0,,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
97,1703/68 La Trobe Street Melbourne VIC 3000,POINT (144.9667899 -37.8083648),620.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,1.0760999999999998,1.6096,0.9307000000000001,2.0254000000000003,0.4471,2.1933333333333334
99,1106/33 Mackenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),520.0,1.0,1.0,,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
105,1406/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),560.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
106,2003/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),980.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
107,2407/250 Elizabeth Street Melbourne VIC 3000,POINT (144.9626295 -37.812508),595.0,2.0,1.0,,206041503,Melbourne CBD - East,0.5741,1.9607,0.5366000000000001,1.9786,0.805,2.1966666666666668
110,1706/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),560.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
111,1604/63 La Trobe Street Melbourne VIC 3000,POINT (144.9693999 -37.8082025),940.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7467,1.6238,0.7402000000000001,2.0221,0.8775,0.855
117,104/73 Flinders Lane Melbourne VIC 3000,POINT (144.9723857 -37.8150696),1800.0,3.0,2.0,2.0,206041503,Melbourne CBD - East,0.664,2.5119000000000002,0.9055,2.9276999999999997,0.2787,1.9733333333333334
121,"Level 14, 1405/265 Exhibition Street Melbourne VIC 3000",POINT (144.9692227 -37.8095971),950.0,3.0,2.0,2.0,206041503,Melbourne CBD - East,0.5617000000000001,1.7266,0.6172000000000001,2.1249000000000002,0.2626,0.5516666666666666
122,816/250 Elizabeth Street Melbourne VIC 3000,POINT (144.9626295 -37.812508),550.0,1.0,1.0,,206041503,Melbourne CBD - East,0.5741,1.9607,0.5366000000000001,1.9786,0.805,2.1966666666666668
123,403/9 Degraves Street Melbourne VIC 3000,POINT (144.9657444 -37.8175531),750.0,1.0,1.0,1.0,206041503,Melbourne CBD - East,2.5323,2.4615,1.2258,2.4793000000000003,1.149,1.3516666666666666
137,2306/318 Russell Street Melbourne VIC 3000,POINT (144.9667048 -37.809279599999996),570.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7843,1.616,0.4164,2.0318,0.45339999999999997,0.9183333333333333
139,148/283 Spring Street Melbourne VIC 3000,POINT (144.9712126 -37.8081467),820.0,3.0,1.0,1.0,206041503,Melbourne CBD - East,0.5548,1.7367000000000001,0.9412,2.1588000000000003,0.43289999999999995,0.9083333333333333
143,1904/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),940.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
144,1503/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),960.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
146,2701/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),1350.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
151,3810/318 Russell Street Melbourne VIC 3000,POINT (144.9667048 -37.809279599999996),780.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7843,1.616,0.4164,2.0318,0.45339999999999997,0.9183333333333333
160,2503/33 Mackenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),680.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
166,1404/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),920.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
173,24/180 Little Collins Street Melbourne VIC 3000,POINT (144.9679067 -37.8138601),980.0,2.0,2.0,2.0,206041503,Melbourne CBD - East,2.298,2.1298000000000004,0.5234,2.5456,0.9146,1.1933333333333331
