,name,geometry,cost,beds,baths,parkings,LGA_CODE23,LGA_NAME23,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
0,904/265 Exhibition Street Melbourne VIC 3000,POINT (144.9691204 -37.8095116),850.0,2.0,2.0,1.0,24600,Melbourne,1.4866666666666668,4.193333333333333,1.875,5.448333333333333,0.8316666666666667,0.7433333333333334
1,210/422 Collins Street Melbourne VIC 3000,POINT (144.9601487 -37.8170971),475.0,1.0,1.0,0.0,24600,Melbourne,2.421666666666667,6.305000000000001,2.455,5.9399999999999995,3.503333333333333,0.48833333333333334
2,1902/200 Spencer Street Melbourne VIC 3000,POINT (144.9532465 -37.816228),630.0,2.0,1.0,1.0,24600,Melbourne,2.4866666666666664,7.198333333333333,0.7533333333333334,5.675,1.5599999999999998,0.8133333333333332
3,312B/399 Bourke Street Melbourne VIC 3000,POINT (144.9621291 -37.8147259),450.0,1.0,1.0,0.0,24600,Melbourne,2.425,5.855,2.0033333333333334,5.488333333333333,3.716666666666667,0.7016666666666667
4,3313/228 La Trobe Street Melbourne VIC 3000,POINT (144.962371 -37.8096052),900.0,2.0,1.0,2.0,24600,Melbourne,1.1900000000000002,4.5216666666666665,2.1733333333333333,4.193333333333333,1.4083333333333334,0.8816666666666666
5,301/499 St Kilda Road Melbourne VIC 3000,POINT (144.9786264 -37.8434125),470.0,1.0,1.0,0.0,24600,Melbourne,2.808333333333333,7.489999999999999,5.1899999999999995,10.238333333333333,1.625,3.643333333333333
6,2302/17 Spring Street Melbourne VIC 3000,POINT (144.9744021 -37.8147493),1500.0,2.0,2.0,1.0,24600,Melbourne,1.2950000000000002,6.461666666666667,3.02,6.071666666666667,1.43,2.19
7,3201/318 Queen Street Melbourne VIC 3000,POINT (144.9592612 -37.8112667),550.0,1.0,1.0,0.0,24600,Melbourne,1.4016666666666666,4.831666666666666,1.5183333333333333,4.465,1.72,0.6866666666666668
9,403/17 Singers Lane Melbourne VIC 3000,POINT (144.9566218 -37.8110876),450.0,1.0,1.0,0.0,24600,Melbourne,1.1233333333333335,4.886666666666667,2.33,4.258333333333334,1.6166666666666667,0.7416666666666667
10,1413/199 William Street Melbourne VIC 3000,POINT (144.9573479 -37.8145716),650.0,2.0,1.0,0.0,24600,Melbourne,1.3133333333333332,6.155,1.5616666666666668,5.011666666666667,1.7816666666666667,1.2216666666666667
