,lga_name,lga_code,name,geometry,cost,beds,baths,parkings,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd,year,offence_count,population,weekly_income
0,alpine,20110,34 O'Donnell Avenue Myrtleford VIC 3737,POINT (146.7271339 -36.5522656),270,2.0,1.0,2.0,46.42833333333333,5.346666666666667,38.88,29.88833333333333,2.5266666666666664,2.4466666666666668,999.0,2017,396,13113.0,592.3420006421975
1,ararat,20260,4 Grano Street Ararat VIC 3377,POINT (142.9414137 -37.2818641),260,3.0,1.0,1.0,2.428333333333333,28.92833333333333,2.536666666666666,999.0,1.4333333333333331,3.033333333333333,999.0,2017,1249,11613.0,579.6928550718094
2,ballarat,20570,3/41 Longley Street Alfredton VIC 3350,POINT (143.8376317 -37.5653948),280,3.0,2.0,2.0,7.341666666666667,9.785,6.483333333333333,24.81,2.235,4.776666666666667,999.0,2017,11885,152520.0,617.844766161167
3,banyule,20660,3 Clinton Street Heidelberg Heights VIC 3081,POINT (145.0598679 -37.7598674),395,3.0,1.0,1.0,2.8766666666666665,11.215,9.528333333333334,5.3533333333333335,1.76,2.6300000000000003,23.14,2017,9703,129192.0,762.0602734791266
4,bass coast,20740,23 Carpathia Street Coronet Bay VIC 3984,POINT (145.4968004 -38.4790177),285,3.0,2.0,2.0,86.75,32.095,22.93,39.63,3.885,7.376666666666667,116.675,2017,2613,34166.0,528.836270872012
5,baw baw,20830,3/12 Cambridge Drive Warragul VIC 3820,POINT (145.9291048 -38.1420101),320,3.0,1.0,2.0,3.841666666666667,59.77333333333333,10.885,16.663333333333334,2.1366666666666663,4.1866666666666665,84.09833333333333,2017,4019,50790.0,610.8182677167333
6,bayside (vic.),20910,2A Normanby Street Brighton VIC 3186,POINT (145.0135569 -37.9212293),550,3.0,2.0,2.0,3.425,10.456666666666669,10.056666666666668,11.656666666666666,1.9883333333333333,3.0966666666666667,31.186666666666667,2017,5315,104274.0,934.0162291681687
7,benalla,21010,28 Livingston Boulevard Benalla VIC 3672,POINT (145.973497 -36.5566188),250,3.0,1.0,2.0,5.575,64.175,33.553333333333335,53.156666666666666,1.8766666666666665,4.84,999.0,2017,1354,14050.0,558.5923429801122
8,boroondara,21110,24 Spencer Rd Camberwell VIC 3124,POINT (145.0567977 -37.835368),430,3.0,2.0,2.0,2.958333333333333,7.47,5.25,8.808333333333334,1.4533333333333334,2.0983333333333336,17.675,2017,8428,231424.0,906.0949612588241
9,brimbank,21180,3/24 Austin Street St Albans VIC 3021,POINT (144.8018871 -37.7553979),350,3.0,1.0,1.0,4.4,16.438333333333333,5.04,10.2,2.125,3.28,30.26833333333333,2017,18514,235164.0,509.60233705258497
10,buloke,21270,18A Sproats Lane Donald VIC 3480,POINT (142.9784529 -36.3644877),180,2.0,1.0,1.0,62.25333333333333,56.165,67.075,71.84166666666667,0.9433333333333334,1.4116666666666666,999.0,2017,185,6208.0,498.9839856172292
11,campaspe,21370,3/30 Premier Street Echuca VIC 3564,POINT (144.757922 -36.130929),260,2.0,1.0,1.0,2.123333333333333,85.25333333333333,2.8583333333333334,31.51333333333333,1.7233333333333334,23.956666666666667,999.0,2017,3665,37805.0,580.9323768566135
12,cardinia,21450,29 Ayesha Rise Pakenham VIC 3810,POINT (145.4477454 -38.0751779),350,4.0,2.0,2.0,5.383333333333334,22.023333333333333,9.581666666666669,28.65833333333333,3.0933333333333333,5.213333333333334,51.87,2017,6844,234159.0,707.8273425560541
13,casey,21610,27 Fernwren Drive Berwick VIC 3806,POINT (145.3141655 -38.0133156),380,4.0,2.0,2.0,8.606666666666666,11.041666666666666,7.9766666666666675,24.808333333333334,2.756666666666667,4.031666666666667,47.2,2017,24490,506624.0,666.3406859949795
14,central goldfields,21670,35 Green Street Carisbrook VIC 3464,POINT (143.7402929 -37.0485438),230,3.0,1.0,1.0,3.418333333333333,23.87,3.0,47.086666666666666,2.4233333333333333,2.42,999.0,2017,1374,13355.0,461.7685437011915
15,colac otway,21750,34 Roadknight Street Birregurra VIC 3242,POINT (143.6648543 -38.7543919),280,3.0,1.0,1.0,64.52333333333334,46.11,64.445,45.306666666666665,2.533333333333333,3.625,999.0,2017,2179,21434.0,597.9213289086254
16,corangamite,21830,3/7 Cressy Street Camperdown VIC 3260,POINT (143.1395262 -38.2325418),235,2.0,1.0,1.0,1.28,86.32833333333333,33.95666666666667,18.27833333333333,1.8033333333333332,1.39,999.0,2017,1053,16170.0,568.6476825990219
17,darebin,21890,29A Comas Grove Thornbury VIC 3071,POINT (145.008987 -37.7666972),385,2.0,1.0,1.0,3.2583333333333333,10.29,6.891666666666667,8.883333333333333,1.975,2.3366666666666664,17.515,2017,16746,240366.0,690.4440006489982
