ABS,SA2,homeless number
,Alfredton,3
,Ballarat,123
,Ballarat - North,92
,Ballarat - South,74
,Buninyong,0
,Delacombe,38
,Smythes Creek,0
,Wendouree - Miners Rest,74
,Bacchus Marsh Region,8
,Creswick - Clunes,4
,Daylesford,22
,Gordon (Vic.),8
,Avoca,21
,Beaufort,7
,Golden Plains - North,5
,Maryborough (Vic.),26
,Maryborough Region,10
,Bendigo,59
,California Gully - Eaglehawk,43
,East Bendigo - Kennington,47
,Flora Hill - Spring Gully,46
,Kangaroo Flat - Golden Square,59
,Maiden Gully,4
,Strathfieldsaye,4
,White Hills - Ascot,3
,Bendigo Region - South,9
,Castlemaine,45
,Castlemaine Region,20
,Heathcote,6
,Kyneton,31
,Woodend,5
,Bendigo Region - North,4
,Loddon,42
,Bannockburn,6
,Golden Plains - South,5
,Winchelsea,5
,Belmont,101
,Corio - Norlane,161
,Geelong,85
,Geelong West - Hamlyn Heights,53
,Grovedale,106
,Highton,48
,Lara,33
,Leopold,10
,Newcomb - Moolap,73
,Newtown (Vic.),8
,North Geelong - Bell Park,44
,Clifton Springs,8
,Lorne - Anglesea,24
,Ocean Grove - Barwon Heads,12
,Portarlington,11
,Point Lonsdale - Queenscliff,10
,Torquay,15
,Alexandra,18
,Euroa,8
,Kilmore - Broadford,23
,Mansfield (Vic.),21
,Nagambie,13
,Seymour,41
,Seymour Region,26
,Upper Yarra Valley,0
,Yea,6
,Benalla,38
,Benalla Region,4
,Rutherglen,6
,Wangaratta,72
,Wangaratta Region,7
,Beechworth,10
,Bright - Mount Beauty,17
,Chiltern - Indigo Valley,0
,Myrtleford,13
,Towong,6
,West Wodonga,25
,Wodonga,150
,Yackandandah,3
,Drouin,32
,Mount Baw Baw Region,4
,Trafalgar (Vic.),10
,Warragul,38
,Alps - East,0
,Bairnsdale,112
,Bruthen - Omeo,26
,Lake King,0
,Lakes Entrance,35
,Orbost,35
,Paynesville,3
,Foster,10
,French Island,0
,Korumburra,35
,Leongatha,12
,Phillip Island,10
,Wilsons Promontory,0
,Wonthaggi - Inverloch,34
,Churchill,20
,Moe - Newborough,39
,Morwell,109
,Traralgon,58
,Yallourn North - Glengarry,0
,Alps - West,0
,Longford - Loch Sport,5
,Maffra,14
,Rosedale,10
,Sale,35
,Yarram,3
,Brunswick,170
,Brunswick East,26
,Brunswick West,47
,Coburg,86
,Pascoe Vale South,10
,Alphington - Fairfield,47
,Northcote,93
,Thornbury,110
,Ascot Vale,112
,Essendon - Aberfeldie,76
,Flemington,126
,Moonee Ponds,43
,Carlton,129
,Docklands,64
,East Melbourne,48
,Flemington Racecourse,3
,Kensington (Vic.),50
,Melbourne,928
,North Melbourne,309
,Parkville,67
,South Yarra - West,29
,Southbank,93
,West Melbourne,0
,Albert Park,36
,Elwood,78
,Port Melbourne,77
,Port Melbourne Industrial,0
,South Melbourne,89
,St Kilda,580
,St Kilda East,264
,Armadale,40
,Prahran - Windsor,73
,South Yarra - East,67
,Toorak,19
,Abbotsford,69
,Carlton North - Princes Hill,31
,Collingwood,95
,Fitzroy,223
,Fitzroy North,136
,Richmond (Vic.),236
,Yarra - North,53
,Ashburton (Vic.),28
,Balwyn,16
,Balwyn North,18
,Camberwell,27
,Glen Iris - East,13
,Hawthorn,136
,Hawthorn East,51
,Kew,105
,Kew East,3
,Surrey Hills (West) - Canterbury,25
,Bulleen,28
,Doncaster,80
,Templestowe,8
,Templestowe Lower,12
,Doncaster East (North),12
,Doncaster East (South),46
,Blackburn,34
,Blackburn South,27
,Box Hill,200
,Box Hill North,53
,Burwood,193
,Burwood East,46
,Surrey Hills (East) - Mont Albert,16
,Beaumaris,17
,Brighton (Vic.),55
,Brighton East,4
,Cheltenham - Highett (West),27
,Hampton,48
,Sandringham - Black Rock,12
,Bentleigh - McKinnon,26
,Carnegie,94
,Caulfield - North,51
,Caulfield - South,66
,Elsternwick,59
,Hughesdale,86
,Murrumbeena,45
,Ormond - Glen Huntly,89
,Bentleigh East (North),29
,Bentleigh East (South),37
,Aspendale Gardens - Waterways,0
,Braeside,0
,Carrum - Patterson Lakes,17
,Chelsea - Bonbeach,40
,Chelsea Heights,8
,Cheltenham - Highett (East),66
,Edithvale - Aspendale,6
,Mentone,18
,Moorabbin - Heatherton,50
,Moorabbin Airport,0
,Mordialloc - Parkdale,69
,Malvern - Glen Iris,48
,Malvern East,145
,Bundoora - East,24
,Greensborough,21
,Heidelberg - Rosanna,31
,Heidelberg West,99
,Ivanhoe,14
,Ivanhoe East - Eaglemont,3
,Montmorency - Briar Hill,27
,Viewbank - Yallambie,56
,Watsonia,53
,Kingsbury,140
,Reservoir - East,211
,Reservoir - West,154
,Preston - East,143
,Preston - West,68
,Eltham,33
,Hurstbridge,0
,Kinglake,13
,Panton Hill - St Andrews,9
,Plenty - Yarrambat,13
,Research - North Warrandyte,4
,Wattle Glen - Diamond Creek,13
,Bundoora - North,8
,Bundoora - West,43
,Lalor,143
,Mill Park - North,50
,Mill Park - South,29
,Thomastown,168
,Wallan,6
,Whittlesea,4
,Doreen,14
,Epping - East,48
,Epping - South,38
,Epping - West,28
,Mernda,18
,South Morang (North),7
,South Morang (South),15
,Wollert,27
,Airport West,13
,Essendon Airport,0
,Keilor,23
,Keilor East,18
,Niddrie - Essendon West,4
,Strathmore,10
,Gisborne,7
,Macedon,0
,Riddells Creek,7
,Romsey,12
,Coburg North,44
,Fawkner,122
,Pascoe Vale,89
,Glenroy,116
,Gowanbrae,8
,Hadfield,49
,Sunbury,21
,Sunbury - South,45
,Broadmeadows,113
,Campbellfield - Coolaroo,145
,Gladstone Park - Westmeadows,38
,Greenvale - Bulla,10
,Meadow Heights,131
,Melbourne Airport,0
,Roxburgh Park - Somerton,191
,Tullamarine,17
,Craigieburn - Central,70
,Craigieburn - North,25
,Craigieburn - South,54
,Craigieburn - West,34
,Mickleham - Yuroke,21
,Bayswater,36
,Knoxfield - Scoresby,46
,Lysterfield,4
,Rowville - Central,11
,Rowville - North,13
,Rowville - South,4
,Wantirna,19
,Wantirna South,29
,Boronia,112
,Ferntree Gully (North),67
,Ferntree Gully (South) - Upper Ferntree Gully,11
,The Basin,0
,Donvale - Park Orchards,12
,Warrandyte - Wonga Park,29
,Bayswater North,29
,Croydon Hills - Warranwood,13
,Ringwood,94
,Ringwood East,62
,Ringwood North,4
,Croydon - East,58
,Croydon - West,49
,Croydon South,21
,Forest Hill,37
,Mitcham (Vic.),56
,Nunawading,42
,Vermont,18
,Vermont South,21
,Belgrave - Selby,40
,Chirnside Park,6
,Healesville - Yarra Glen,70
,Kilsyth,14
,Lilydale - Coldstream,43
,Monbulk - Silvan,4
,Montrose,10
,Mooroolbark,78
,Mount Dandenong - Olinda,13
,Mount Evelyn,18
,Upwey - Tecoma,9
