,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/904-265-exhibition-street-melbourne-vic-3000-16637685,904/265 Exhibition Street Melbourne VIC 3000,$850 Per Week,"[-37.8095116, 144.9691204]",Darren Krause,2.0,2.0,1.0,850.0
https://www.domain.com.au/210-422-collins-street-melbourne-vic-3000-16637229,210/422 Collins Street Melbourne VIC 3000,$475 Per Week,"[-37.8170971, 144.9601487]",Annalise Zamparo,1.0,1.0,0.0,475.0
https://www.domain.com.au/1902-200-spencer-street-melbourne-vic-3000-16636968,1902/200 Spencer Street Melbourne VIC 3000,$630 pw,"[-37.816228, 144.9532465]",Paola Faba,2.0,1.0,1.0,630.0
https://www.domain.com.au/312b-399-bourke-street-melbourne-vic-3000-16096996,312B/399 Bourke Street Melbourne VIC 3000,$450,"[-37.8147259, 144.9621291]",Natalie Subotsch,1.0,1.0,0.0,450.0
https://www.domain.com.au/3313-228-la-trobe-street-melbourne-vic-3000-16636845,3313/228 La Trobe Street Melbourne VIC 3000,$900,"[-37.8096052, 144.962371]",Paula Tran,2.0,1.0,2.0,900.0
https://www.domain.com.au/301-499-st-kilda-road-melbourne-vic-3000-16635998,301/499 St Kilda Road Melbourne VIC 3000,$470,"[-37.8434125, 144.9786264]",Paula Tran,1.0,1.0,0.0,470.0
https://www.domain.com.au/2302-17-spring-street-melbourne-vic-3000-16634889,2302/17 Spring Street Melbourne VIC 3000,"$1,500.00 Per Week","[-37.8147493, 144.9744021]",Taylah Cagalj,2.0,2.0,1.0,1500.0
https://www.domain.com.au/3201-318-queen-street-melbourne-vic-3000-16634885,3201/318 Queen Street Melbourne VIC 3000,$550 pw,"[-37.8112667, 144.9592612]",Artem Chereshkov,1.0,1.0,0.0,550.0
https://www.domain.com.au/1-113-brook-street-melbourne-vic-3000-16634706,1/113 brook street Melbourne VIC 3000,$600,"[-37.9164852, 145.0788029]",Jaime Pratt,1.0,1.0,0.0,600.0
https://www.domain.com.au/403-17-singers-lane-melbourne-vic-3000-16633928,403/17 Singers Lane Melbourne VIC 3000,$450 per week,"[-37.8110876, 144.9566218]",South Melbourne Leasing,1.0,1.0,0.0,450.0
https://www.domain.com.au/1413-199-william-street-melbourne-vic-3000-16633920,1413/199 William Street Melbourne VIC 3000,$650,"[-37.8145716, 144.9573479]",Sella Bustani,2.0,1.0,0.0,650.0
https://www.domain.com.au/2408-5-sutherland-street-melbourne-vic-3000-16633916,2408/5 Sutherland Street Melbourne VIC 3000,$580,"[-37.811416, 144.9608504]",Sella Bustani,2.0,1.0,0.0,580.0
https://www.domain.com.au/11-187-collins-street-melbourne-vic-3000-16632664,11/187 Collins Street Melbourne VIC 3000,$800.00 pw,"[-37.81540469999999, 144.9678522]",Barbara Baltas,1.0,1.0,0.0,800.0
https://www.domain.com.au/1212-555-flinders-street-melbourne-vic-3000-16632167,1212/555 Flinders Street Melbourne VIC 3000,$450 per week,"[-37.8209711, 144.9564827]",South Melbourne Leasing,1.0,1.0,0.0,450.0
https://www.domain.com.au/5-650-elizabeth-street-melbourne-vic-3000-16631346,5/650 Elizabeth Street Melbourne VIC 3000,$500 per week,"[-37.8031824, 144.9585195]",Annalise Zamparo,1.0,1.0,0.0,500.0
https://www.domain.com.au/32-18-queen-street-melbourne-vic-3000-13015464,32/18 Queen Street Melbourne VIC 3000,$495.00 Per Week,"[-37.8182665, 144.9625657]",MIA DE SANTIS,1.0,1.0,0.0,495.0
https://www.domain.com.au/301-565-flinders-street-melbourne-vic-3000-16630868,301/565 Flinders Street Melbourne VIC 3000,$400 pw,"[-37.8210558, 144.9559033]",Bonny Gowty,1.0,1.0,0.0,400.0
https://www.domain.com.au/511-118-franklin-street-melbourne-vic-3000-16630846,511/118 Franklin Street Melbourne VIC 3000,$550,"[-37.8082052, 144.9589035]",Manuel Flores,2.0,1.0,0.0,550.0
