,SA2_CODE21,SA2_NAME21,LGA_CODE21,LGA_NAME21
0,201011001,Alfredton,20570,Ballarat
1,201011002,Ballarat,20570,Ballarat
2,201011005,Buninyong,20570,Ballarat
3,201011006,Delacombe,20570,Ballarat
4,201011007,Smythes Creek,22490,Golden Plains
5,201011008,Wendouree - Miners Rest,20570,Ballarat
6,201011481,Ballarat East - Warrenheip,20570,Ballarat
7,201011482,Ballarat North - Invermay,20570,Ballarat
8,201011483,Canadian - Mount Clear,20570,Ballarat
9,201011484,Sebastopol - Redan,20570,Ballarat
10,201021009,Bacchus Marsh Surrounds,25150,Moorabool
11,201021010,Creswick - Clunes,22910,Hepburn
12,201021011,Daylesford,22910,Hepburn
13,201021012,Gordon (Vic.),25150,Moorabool
14,201031013,Avoca,25990,Pyrenees
15,201031014,Beaufort,25990,Pyrenees
16,201031015,Golden Plains - North,22490,Golden Plains
17,201031016,Maryborough (Vic.),21670,Central Goldfields
18,201031017,Maryborough Surrounds,21670,Central Goldfields
19,202011018,Bendigo,22620,Greater Bendigo
20,202011019,California Gully - Eaglehawk,22620,Greater Bendigo
21,202011020,East Bendigo - Kennington,22620,Greater Bendigo
22,202011021,Flora Hill - Spring Gully,22620,Greater Bendigo
23,202011022,Kangaroo Flat - Golden Square,22620,Greater Bendigo
24,202011023,Maiden Gully,22620,Greater Bendigo
25,202011024,Strathfieldsaye,22620,Greater Bendigo
26,202011025,White Hills - Ascot,22620,Greater Bendigo
27,202021026,Bendigo Surrounds - South,22620,Greater Bendigo
28,202021027,Castlemaine,25430,Mount Alexander
29,202021028,Castlemaine Surrounds,25430,Mount Alexander
30,202021029,Heathcote,22620,Greater Bendigo
31,202021030,Kyneton,24130,Macedon Ranges
32,202021031,Woodend,24130,Macedon Ranges
33,202031032,Bendigo Surrounds - North,22620,Greater Bendigo
34,202031033,Loddon,23940,Loddon
35,203011034,Bannockburn,22490,Golden Plains
36,203011035,Golden Plains - South,22490,Golden Plains
37,203011036,Winchelsea,26490,Surf Coast
38,203021037,Belmont,22750,Greater Geelong
39,203021039,Geelong,22750,Greater Geelong
40,203021040,Geelong West - Hamlyn Heights,22750,Greater Geelong
41,203021042,Highton,22750,Greater Geelong
42,203021043,Lara,22750,Greater Geelong
43,203021044,Leopold,22750,Greater Geelong
44,203021045,Newcomb - Moolap,22750,Greater Geelong
45,203021046,Newtown (Vic.),22750,Greater Geelong
46,203021047,North Geelong - Bell Park,22750,Greater Geelong
47,203021485,Charlemont,22750,Greater Geelong
48,203021486,Corio - Lovely Banks,22750,Greater Geelong
49,203021487,Grovedale - Mount Duneed,22750,Greater Geelong
50,203021488,Norlane,22750,Greater Geelong
51,203031048,Clifton Springs,22750,Greater Geelong
52,203031049,Lorne - Anglesea,26490,Surf Coast
53,203031051,Portarlington,22750,Greater Geelong
54,203031052,Point Lonsdale - Queenscliff,22750,Greater Geelong
55,203031053,Torquay,26490,Surf Coast
56,203031489,Barwon Heads - Armstrong Creek,22750,Greater Geelong
57,203031490,Ocean Grove,22750,Greater Geelong
58,204011054,Alexandra,25620,Murrindindi
59,204011055,Euroa,26430,Strathbogie
60,204011056,Kilmore - Broadford,24850,Mitchell
61,204011057,Mansfield (Vic.),24250,Mansfield
62,204011058,Nagambie,26430,Strathbogie
63,204011059,Seymour,24850,Mitchell
64,204011060,Seymour Surrounds,24850,Mitchell
65,204011061,Upper Yarra Valley,27450,Yarra Ranges
66,204011062,Yea,25620,Murrindindi
67,204021063,Benalla,21010,Benalla
68,204021064,Benalla Surrounds,21010,Benalla
69,204021065,Rutherglen,23350,Indigo
70,204021066,Wangaratta,26700,Wangaratta
71,204021067,Wangaratta Surrounds,26700,Wangaratta
72,204031068,Beechworth,23350,Indigo
73,204031069,Bright - Mount Beauty,20110,Alpine
74,204031070,Chiltern - Indigo Valley,23350,Indigo
75,204031071,Myrtleford,20110,Alpine
76,204031072,Towong,26670,Towong
77,204031073,West Wodonga,27170,Wodonga
78,204031075,Yackandandah,23350,Indigo
79,204031491,Baranduda - Leneva,27170,Wodonga
80,204031492,Wodonga,27170,Wodonga
81,205011076,Drouin,20830,Baw Baw
82,205011077,Mount Baw Baw Region,20830,Baw Baw
83,205011078,Trafalgar (Vic.),20830,Baw Baw
84,205011079,Warragul,20830,Baw Baw
85,205021080,Alps - East,22110,East Gippsland
86,205021081,Bairnsdale,22110,East Gippsland
87,205021082,Bruthen - Omeo,22110,East Gippsland
88,205021083,Lake King,22110,East Gippsland
89,205021084,Lakes Entrance,22110,East Gippsland
90,205021085,Orbost,22110,East Gippsland
91,205021086,Paynesville,22110,East Gippsland
92,205031087,Foster,26170,South Gippsland
93,205031088,French Island,29399,Unincorporated Vic
94,205031089,Korumburra,26170,South Gippsland
95,205031090,Leongatha,26170,South Gippsland
96,205031091,Phillip Island,20740,Bass Coast
97,205031092,Wilsons Promontory,26170,South Gippsland
98,205031093,Wonthaggi - Inverloch,20740,Bass Coast
99,205041094,Churchill,23810,Latrobe (Vic.)
100,205041095,Moe - Newborough,23810,Latrobe (Vic.)
101,205041096,Morwell,23810,Latrobe (Vic.)
102,205041098,Yallourn North - Glengarry,23810,Latrobe (Vic.)
103,205041493,Traralgon - East,23810,Latrobe (Vic.)
104,205041494,Traralgon - West,23810,Latrobe (Vic.)
105,205051099,Alps - West,26810,Wellington
106,205051100,Longford - Loch Sport,26810,Wellington
107,205051101,Maffra,26810,Wellington
108,205051102,Rosedale,26810,Wellington
109,205051103,Sale,26810,Wellington
110,205051104,Yarram,26810,Wellington
111,206011106,Brunswick East,25250,Moreland
112,206011107,Brunswick West,25250,Moreland
113,206011109,Pascoe Vale South,25250,Moreland
114,206011495,Brunswick - North,25250,Moreland
115,206011496,Brunswick - South,25250,Moreland
116,206011497,Coburg - East,25250,Moreland
117,206011498,Coburg - West,25250,Moreland
118,206021110,Alphington - Fairfield,21890,Darebin
119,206021112,Thornbury,21890,Darebin
120,206021499,Northcote - East,21890,Darebin
121,206021500,Northcote - West,21890,Darebin
122,206031113,Ascot Vale,25060,Moonee Valley
123,206031115,Flemington,25060,Moonee Valley
124,206031116,Moonee Ponds,25060,Moonee Valley
125,206031501,Essendon (West) - Aberfeldie,25060,Moonee Valley
126,206031502,Essendon - East,25060,Moonee Valley
127,206041117,Carlton,24600,Melbourne
128,206041118,Docklands,24600,Melbourne
129,206041119,East Melbourne,24600,Melbourne
130,206041120,Flemington Racecourse,24600,Melbourne
131,206041121,Kensington (Vic.),24600,Melbourne
132,206041124,Parkville,24600,Melbourne
133,206041125,South Yarra - West,24600,Melbourne
134,206041127,West Melbourne - Industrial,24600,Melbourne
135,206041503,Melbourne CBD - East,24600,Melbourne
136,206041504,Melbourne CBD - North,24600,Melbourne
137,206041505,Melbourne CBD - West,24600,Melbourne
138,206041506,North Melbourne,24600,Melbourne
139,206041507,Royal Botanic Gardens Victoria,24600,Melbourne
140,206041508,Southbank (West) - South Wharf,24600,Melbourne
141,206041509,Southbank - East,24600,Melbourne
142,206041510,West Melbourne - Residential,24600,Melbourne
143,206051128,Albert Park,25900,Port Phillip
144,206051129,Elwood,25900,Port Phillip
145,206051130,Port Melbourne,25900,Port Phillip
146,206051134,St Kilda East,25900,Port Phillip
147,206051511,Port Melbourne Industrial,24600,Melbourne
148,206051512,South Melbourne,25900,Port Phillip
149,206051513,St Kilda - Central,25900,Port Phillip
150,206051514,St Kilda - West,25900,Port Phillip
151,206061135,Armadale,26350,Stonnington
152,206061136,Prahran - Windsor,26350,Stonnington
153,206061138,Toorak,26350,Stonnington
154,206061515,South Yarra - North,26350,Stonnington
155,206061516,South Yarra - South,26350,Stonnington
156,206071139,Abbotsford,27350,Yarra
157,206071140,Carlton North - Princes Hill,27350,Yarra
158,206071141,Collingwood,27350,Yarra
159,206071142,Fitzroy,27350,Yarra
160,206071143,Fitzroy North,27350,Yarra
161,206071145,Clifton Hill - Alphington,27350,Yarra
162,206071517,Richmond (South) - Cremorne,27350,Yarra
163,206071518,Richmond - North,27350,Yarra
164,207011146,Ashburton (Vic.),21110,Boroondara
165,207011147,Balwyn,21110,Boroondara
166,207011148,Balwyn North,21110,Boroondara
167,207011149,Camberwell,21110,Boroondara
168,207011150,Glen Iris - East,21110,Boroondara
169,207011152,Hawthorn East,21110,Boroondara
170,207011154,Kew East,21110,Boroondara
171,207011155,Surrey Hills (West) - Canterbury,21110,Boroondara
172,207011519,Hawthorn - North,21110,Boroondara
173,207011520,Hawthorn - South,21110,Boroondara
174,207011521,Kew - South,21110,Boroondara
175,207011522,Kew - West,21110,Boroondara
176,207021156,Bulleen,24210,Manningham
177,207021157,Doncaster,24210,Manningham
178,207021159,Templestowe,24210,Manningham
179,207021160,Templestowe Lower,24210,Manningham
180,207021424,Doncaster East - North,24210,Manningham
181,207021425,Doncaster East - South,24210,Manningham
182,207031161,Blackburn,26980,Whitehorse
183,207031162,Blackburn South,26980,Whitehorse
184,207031163,Box Hill,26980,Whitehorse
185,207031164,Box Hill North,26980,Whitehorse
186,207031165,Burwood (Vic.),26980,Whitehorse
187,207031166,Burwood East,26980,Whitehorse
188,207031167,Surrey Hills (East) - Mont Albert,26980,Whitehorse
189,208011168,Beaumaris,20910,Bayside (Vic.)
190,208011169,Brighton (Vic.),20910,Bayside (Vic.)
191,208011170,Brighton East,20910,Bayside (Vic.)
192,208011171,Highett (West) - Cheltenham,20910,Bayside (Vic.)
193,208011172,Hampton,20910,Bayside (Vic.)
194,208011173,Sandringham - Black Rock,20910,Bayside (Vic.)
195,208021174,Bentleigh - McKinnon,22310,Glen Eira
196,208021176,Carnegie,22310,Glen Eira
197,208021177,Caulfield - North,22310,Glen Eira
198,208021178,Caulfield - South,22310,Glen Eira
199,208021179,Elsternwick,22310,Glen Eira
200,208021180,Hughesdale,24970,Monash
201,208021181,Murrumbeena,22310,Glen Eira
202,208021182,Ormond - Glen Huntly,22310,Glen Eira
203,208021426,Bentleigh East - North,22310,Glen Eira
204,208021427,Bentleigh East - South,22310,Glen Eira
205,208031183,Aspendale Gardens - Waterways,23430,Kingston (Vic.)
206,208031184,Braeside,23430,Kingston (Vic.)
207,208031185,Carrum - Patterson Lakes,23430,Kingston (Vic.)
208,208031186,Chelsea - Bonbeach,23430,Kingston (Vic.)
209,208031187,Chelsea Heights,23430,Kingston (Vic.)
210,208031188,Highett (East) - Cheltenham,23430,Kingston (Vic.)
211,208031189,Edithvale - Aspendale,23430,Kingston (Vic.)
212,208031190,Mentone,23430,Kingston (Vic.)
213,208031191,Moorabbin - Heatherton,23430,Kingston (Vic.)
214,208031192,Moorabbin Airport,23430,Kingston (Vic.)
215,208031193,Mordialloc - Parkdale,23430,Kingston (Vic.)
216,208041194,Malvern - Glen Iris,26350,Stonnington
217,208041195,Malvern East,26350,Stonnington
218,209011196,Bundoora - East,20660,Banyule
