,lga_name,cost,beds,baths,parkings,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd,year,offence_count,population,weekly_income
0,alpine,423.87733529918114,2.0,1.0,2.0,46.42833333333333,5.346666666666667,38.88,29.88833333333333,2.5266666666666664,2.4466666666666668,999.0,2024,494.82,13547.0,855.905887564514
1,ararat,392.32876672746715,3.0,1.0,1.0,2.428333333333333,28.92833333333333,2.536666666666666,999.0,1.4333333333333331,3.033333333333333,999.0,2024,1425.13,11884.0,776.3544370408312
2,ballarat,429.35355041522416,3.0,2.0,2.0,7.341666666666667,9.785,6.483333333333333,24.81,2.235,4.776666666666667,999.0,2024,10663.03,169198.0,853.2393870197533
3,banyule,519.3733586704802,3.0,1.0,1.0,2.8766666666666665,11.215,9.528333333333334,5.3533333333333335,1.76,2.6300000000000003,23.14,2024,7947.73,138961.0,1049.5301591404389
4,bass coast,429.02391556889415,3.0,2.0,2.0,86.75,32.095,22.93,39.63,3.885,7.376666666666667,116.675,2024,3010.08,39431.0,710.4183285049229
5,baw baw,459.95690719334743,3.0,1.0,2.0,3.841666666666667,59.77333333333333,10.885,16.663333333333334,2.1366666666666663,4.1866666666666665,84.09833333333333,2024,3377.55,59465.0,826.4280960736849
6,bayside (vic.),698.6205067463889,3.0,2.0,2.0,3.425,10.456666666666669,10.056666666666668,11.656666666666666,1.9883333333333333,3.0966666666666667,31.186666666666667,2024,5429.98,114359.0,1239.6191546483656
7,benalla,387.856568673742,3.0,1.0,2.0,5.575,64.175,33.553333333333335,53.156666666666666,1.8766666666666665,4.84,999.0,2024,1403.03,14051.0,736.1050986596067
8,boroondara,552.2434222164375,3.0,2.0,2.0,2.958333333333333,7.47,5.25,8.808333333333334,1.4533333333333334,2.0983333333333336,17.675,2024,7802.47,252714.0,1214.0911334688578
9,brimbank,465.86177189692535,3.0,1.0,1.0,4.4,16.438333333333333,5.04,10.2,2.125,3.28,30.26833333333333,2024,14998.01,265678.0,700.0814327833901
10,buloke,299.22726859548493,2.0,1.0,1.0,62.25333333333333,56.165,67.075,71.84166666666667,0.9433333333333334,1.4116666666666666,999.0,2024,361.55,5899.0,725.5458722852678
11,campaspe,405.49190735321463,2.0,1.0,1.0,2.123333333333333,85.25333333333333,2.8583333333333334,31.51333333333333,1.7233333333333334,23.956666666666667,999.0,2024,3461.43,38147.0,741.7620722086153
12,cardinia,493.65137424999557,4.0,2.0,2.0,5.383333333333334,22.023333333333333,9.581666666666669,28.65833333333333,3.0933333333333333,5.213333333333334,51.87,2024,9595.64,323090.0,937.2518156898876
